investorName,investorType,entityName,roundSizeUsd,round,totalInvested
Atlas Benjelloun,person,Cloudflare,150000000,Series E,160000000
Harvey Golub,person,Pagaya Investments,102000000,Series D,141000000
Sean Bill,person,Amount,58000000,Series B,60800000
Ash Devata,person,Secureframe,56000000,Series B,144000000
Jonathan Oberheide,person,Secureframe,56000000,Series B,56000000
Joey Low,person,EverC,35882200,Series B,39382200
Hal Lambert,person,Clearview,30000000,Series B,30000000
Ben Braverman,person,DataGrail,30000000,Series B,30000000
Joshua Browder,person,DataGrail,30000000,Series B,30000000
Daniel Yanisse,person,Truework,30000000,Series B,30000000
Vipul Ved Prakash,person,Truework,30000000,Series B,30000000
Harvey Golub,person,Pagaya Investments,25000000,Series C,141000000
Nitesh Banta,person,Certn,20794686,Series A,24794686
Bart Swanson,person,Certn,20794686,Series A,20794686
Yousif Al-Dujaili,person,Certn,20794686,Series A,25236690
Elon Musk,person,Stripe,18000000,Series A,280000000
Elon Musk,person,Stripe,18000000,Series A,280000000
Elon Musk,person,Stripe,18000000,Series A,280000000
Rudolf Booker,person,Fourthline,17324781,Series A,17324781
Tatiana Fontalvo,person,Truora,15000000,Series A,15000000
Anna X. Wang,person,Truora,15000000,Series A,15000000
Brian Requarth,person,Truora,15000000,Series A,15000000
Maria Echeverri Gomez,person,Truora,15000000,Series A,25000000
Dileep Thazhmon,person,Truora,15000000,Series A,15000000
Simon Borrero,person,Truora,15000000,Series A,25000000
Israel Englander,person,LeapYear Technologies,15000000,Venture - Series Unknown,15000000
Valentina Valencia,person,Truora,15000000,Series A,15000000
Kerry Wang,person,Truora,15000000,Series A,15000000
Angela Borrero,person,Truora,15000000,Series A,15000000
Andrew Vigneault,person,SentiLink,14000000,Series A,22625000
Harvey Golub,person,Pagaya Investments,14000000,Series B,141000000
Tom Noonan,person,Evident ,14000000,Series C,30600000
Ott Kaukver,person,Yapily,13000000,Series A,22400000
Frank Strauss,person,Yapily,13000000,Series A,13000000
Roberto Nicastro,person,Yapily,13000000,Series A,18400000
Joseph Grundfest,person,LeapYear Technologies,12600000,Series A,12600000
Ronald Conway,person,Domo,10000000,Angel,11200000
Lars Dalgaard,person,Domo,10000000,Angel,10000000
Steven Singh,person,Domo,10000000,Angel,10000000
John Pestana,person,Domo,10000000,Angel,10000000
Hiroshi Mikitani,person,Domo,10000000,Angel,10000000
David Lee,person,Domo,10000000,Angel,30000000
Mark Gorenberg,person,Domo,10000000,Angel,10000000
Dan Rose,person,Domo,10000000,Angel,10000000
Atlas Benjelloun,person,Cloudflare,10000000,Series A,160000000
Tom Noonan,person,Tugboat Logic,9300000,Series A,30600000
Andrew Vigneault,person,Clearview,8625000,Venture - Series Unknown,22625000
David Eun,person,Zimperium,8000000,Series A,8000000
Stephen Northcutt,person,Zimperium,8000000,Series A,8000000
Jordan Eisenberg,person,Zimperium,8000000,Series A,8000000
Tom Noonan,person,Deduce,7300000,Seed,30600000
