investorName,investorType,entityName,roundSizeUsd,round,totalInvested
Abu Dhabi Investment Authority,entity,MEGVII,750000000,Series D,750000000
ICBC Asset Management,entity,MEGVII,750000000,Series D,750000000
Bank of China Group Investment,entity,MEGVII,750000000,Series D,750000000
Blank Ventures,entity,1Password,620000000,Series C,620000000
TLG Capital,entity,Fenergo,600000000,Private Equity,600000000
China Reform Holdings Corporation,entity,MEGVII,460000000,Series C,460000000
Foxconn Technology Group,entity,MEGVII,460000000,Series C,650987842
Sunshine Insurance Group,entity,MEGVII,460000000,Series C,460000000
SK Group,entity,MEGVII,460000000,Series C,460000000
Russia-China Investment Fund,entity,MEGVII,460000000,Series C,460000000
Healthcare of Ontario Pension Plan (HOOPP),entity,Pagaya Investments,350000000,Post-IPO Equity,350000000
L Catterton,entity,Forter,300000000,Series F,5488529036
L Catterton,entity,Forter,300000000,Series F,5488529036
01 Advisors,entity,Tipalti,270000000,Series F,516794686
DST Global,entity,Stripe,245000000,Series E,2216498117
DST Global,entity,Stripe,245000000,Series E,2216498117
DST Global,entity,Stripe,245000000,Series E,2216498117
Capital Group,entity,Domo,235037225,Series D,235037225
Dragon Capital,entity,Exabeam,200000000,Series F,425700000
HSBC Bank Singapore,entity,Atome,200000000,Debt Financing,400000000
Victory Park Capital,entity,ZeroFox,170000000,Post-IPO Equity,579729439
Dragon Capital,entity,Netskope,168700000,Series F,425700000
Key 1 Capital,entity,CHEQ,150000000,Series C,150000000
01 Advisors,entity,Tipalti,150000000,Series E,516794686
Hanaco Venture Capital,entity,CHEQ,150000000,Series C,453000000
Alven,entity,Stripe,150000000,Series D,804673743
Alven,entity,Stripe,150000000,Series D,804673743
Alven,entity,Stripe,150000000,Series D,804673743
Credit Suisse,entity,Domo,131000000,Series D,261000000
Hummer Winblad Venture Partners,entity,Domo,125000000,Series C,155000000
Mercato Partners,entity,Domo,125000000,Series C,194000000
Highgoal Capital,entity,unifonic,125000000,Series B,125000000
Riyad Bank,entity,unifonic,125000000,Series B,126000000
212,entity,Insider,121000000,Series D,146200000
Maor Investments,entity,Silverfort,116000000,Series D,166882200
Brighton Park Capital,entity,Silverfort,116000000,Series D,358108584
Aflac Innovation Partners LLC,entity,Pagaya Investments,102000000,Series D,102000000
Clal Insurance Enterprises Holdings,entity,Pagaya Investments,102000000,Series D,141000000
GF Investments,entity,Pagaya Investments,102000000,Series D,141000000
CCB International,entity,MEGVII,100000000,Series C,4600000000
Foxteq Holdings,entity,MEGVII,100000000,Series C,100000000
Qiming Venture Partners,entity,MEGVII,100000000,Series C,122000000
Sinovation Ventures,entity,MEGVII,100000000,Series C,122000000
Foxconn Technology Group,entity,MEGVII,100000000,Series C,650987842
HSBC Bank Singapore,entity,Atome,100000000,Debt Financing,400000000
HSBC Bank Singapore,entity,Atome,100000000,Debt Financing,400000000
StepStone Group,entity,Immuta,100000000,Series E,160000000
Alven,entity,Stripe,100000000,Series C,804673743
Alven,entity,Stripe,100000000,Series C,804673743
Alven,entity,Stripe,100000000,Series C,804673743
PSG,entity,Bitwarden,100000000,Series B,100000000
Hanaco Venture Capital,entity,Amount,99000000,Series D,453000000
50 South Capital,entity,Amount,99000000,Series D,189000000
Invus,entity,Amount,99000000,Series D,980000000
